iter	RMSE
0	3.659979717
1	3.388869426
2	3.149047866
3	2.938131643
4	2.751740591
5	2.587559369
6	2.445518804
7	2.32032232
8	2.21426321
9	2.122278082
10	2.041058989
11	1.972902609
12	1.911494102
13	1.861138891
14	1.818622065
15	1.782467859
16	1.750859475
17	1.725089263
18	1.696754828
19	1.677228209
20	1.659628063
21	1.645405447
22	1.632076826
23	1.620196682
24	1.605418555
25	1.596514698
26	1.589350876
27	1.577534784
28	1.569776158
29	1.556755288
30	1.547253387
31	1.540658404
32	1.534451665
33	1.528342757
34	1.521566147
35	1.516980806
36	1.511923213
37	1.50766318
38	1.501684433
39	1.498217054
40	1.488719561
41	1.485751032
42	1.482413972
43	1.478059179
44	1.474589661
45	1.466852726
46	1.464842432
47	1.461277514
48	1.458619613
49	1.455015629
50	1.45343039
51	1.447522776
52	1.444996717
53	1.441265541
54	1.440167136
55	1.437179446
56	1.433186837
57	1.428936382
58	1.426248924
59	1.423636641
60	1.423003384
61	1.421041742
62	1.41629031
63	1.413980279
64	1.41024599
65	1.406456191
66	1.402895703
67	1.401222678
68	1.39933412
69	1.398715559
70	1.395099088
71	1.392799415
72	1.388720297
73	1.384282287
74	1.383456358
75	1.381558214
76	1.381165703
77	1.380123323
78	1.376964793
79	1.374411443
80	1.370064511
81	1.364190799
82	1.359767023
83	1.355953613
84	1.353020671
85	1.350691669
86	1.348340091
87	1.346818679
88	1.343521106
89	1.339069001
90	1.336248896
91	1.333289581
92	1.331004812
93	1.326641492
94	1.325403673
95	1.322817251
96	1.321880714
97	1.319820324
98	1.315481818
99	1.3131228
100	1.30972782
101	1.308636215
102	1.304706334
103	1.3025637
104	1.299190235
105	1.298185495
106	1.296366635
107	1.294472371
108	1.291994238
109	1.290076857
110	1.288456435
111	1.287172729
112	1.286627922
113	1.282847559
114	1.280785648
115	1.279621362
116	1.275444895
117	1.274078474
118	1.270520017
119	1.267731744
120	1.266589912
121	1.264411063
122	1.263082172
123	1.260953727
124	1.260692948
125	1.260128751
126	1.257404865
127	1.2561215
128	1.252724887
129	1.251341891
130	1.250281374
131	1.246401434
132	1.244135071
133	1.240942905
134	1.238674888
135	1.235877424
136	1.233631159
137	1.23101984
138	1.229552643
139	1.227451025
140	1.22495935
141	1.22245714
142	1.221848755
143	1.220194821
144	1.219730825
145	1.218709918
146	1.218187746
147	1.21665372
148	1.213134965
149	1.208979573
150	1.205883927
151	1.205513774
152	1.2033199
153	1.202031285
154	1.198809315
155	1.198371288
156	1.196529478
157	1.194067062
158	1.192468022
159	1.190488168
160	1.188828842
161	1.186545518
162	1.185684425
163	1.18405661
164	1.183670288
165	1.182953061
166	1.179784868
167	1.177649621
168	1.176511588
169	1.174458226
170	1.170523575
171	1.169633925
172	1.168705865
173	1.167796887
174	1.164967995
175	1.16287271
176	1.160887444
177	1.16054129
178	1.158814891
179	1.158361356
180	1.157463163
181	1.155599091
182	1.155047877
183	1.15312068
184	1.151039038
185	1.150338663
186	1.149873074
187	1.148916874
188	1.146755743
189	1.143939242
190	1.141291277
191	1.139472448
192	1.137736692
193	1.137004191
194	1.136471419
195	1.134726415
196	1.134164626
197	1.131668694
198	1.129119191
199	1.128269109
200	1.127260075
201	1.126138349
202	1.12433741
203	1.121691793
204	1.119998861
205	1.119060456
206	1.117682374
207	1.117352647
208	1.116866993
209	1.115048278
210	1.11425503
211	1.111786532
212	1.111303434
213	1.108626701
214	1.108399326
215	1.10694064
216	1.105181518
217	1.103380038
218	1.101980622
219	1.10139094
220	1.099811675
221	1.096975229
222	1.096002857
223	1.095588542
224	1.095287135
225	1.093235186
226	1.092930171
227	1.092248099
228	1.092014715
229	1.089457636
230	1.087573449
231	1.087150602
232	1.084782801
233	1.082471988
234	1.080502589
235	1.079750611
236	1.079041331
237	1.078778654
238	1.078036527
239	1.077359963
240	1.07704886
241	1.076834823
242	1.075104697
243	1.07336141
244	1.072724437
245	1.071118654
246	1.069584401
247	1.06926523
248	1.068071366
249	1.067683931
250	1.067191216
251	1.065199787
252	1.063953895
253	1.063615556
254	1.06284733
255	1.061666581
256	1.0603035
257	1.060082659
258	1.058415507
259	1.057960731
260	1.056359588
261	1.056018408
262	1.054721172
263	1.052876203
264	1.051208455
265	1.049925441
266	1.04823085
267	1.045769797
268	1.043776575
269	1.042568738
270	1.041931909
271	1.041602994
272	1.040931832
273	1.039632122
274	1.039248282
275	1.038323583
276	1.037638031
277	1.035801506
278	1.034104214
279	1.033801338
280	1.032828318
281	1.032237502
282	1.031424766
283	1.03094052
284	1.028996051
285	1.028414459
286	1.026240828
287	1.025366447
288	1.025033449
289	1.024449516
290	1.024041166
291	1.023633016
292	1.023338017
293	1.021699891
294	1.019758117
295	1.019394887
296	1.017574571
297	1.014931153
298	1.013213955
299	1.012613553
