iter	Passed	Remaining
0	72	21540
1	94	14113
2	117	11628
3	142	10571
4	164	9713
5	185	9104
6	205	8611
7	226	8273
8	249	8067
9	269	7824
10	291	7653
11	312	7507
12	335	7406
13	357	7302
14	378	7191
15	399	7087
16	420	7004
17	441	6918
18	462	6840
19	482	6759
20	503	6684
21	523	6614
22	546	6575
23	566	6516
24	588	6474
25	608	6410
26	628	6351
27	649	6306
28	671	6278
29	693	6240
30	712	6181
31	731	6124
32	751	6082
33	772	6043
34	793	6010
35	814	5974
36	836	5943
37	858	5919
38	881	5898
39	900	5855
40	918	5805
41	939	5770
42	957	5722
43	979	5701
44	998	5660
45	1019	5632
46	1040	5600
47	1059	5563
48	1077	5520
49	1099	5495
50	1117	5454
51	1136	5422
52	1156	5391
53	1178	5369
54	1200	5349
55	1219	5313
56	1238	5277
57	1258	5250
58	1276	5214
59	1296	5186
60	1315	5154
61	1338	5138
62	1356	5101
63	1376	5076
64	1395	5044
65	1414	5016
66	1431	4978
67	1452	4956
68	1471	4926
69	1490	4896
70	1509	4868
71	1527	4836
72	1547	4811
73	1566	4783
74	1584	4754
75	1603	4725
76	1621	4694
77	1638	4664
78	1661	4646
79	1681	4623
80	1698	4593
81	1717	4564
82	1735	4538
83	1758	4522
84	1777	4496
85	1797	4473
86	1817	4449
87	1837	4425
88	1858	4405
89	1879	4386
90	1900	4364
91	1919	4338
92	1937	4313
93	1957	4290
94	1975	4262
95	1993	4236
96	2012	4210
97	2031	4187
98	2056	4175
99	2074	4149
100	2092	4122
101	2113	4103
102	2132	4077
103	2150	4053
104	2168	4027
105	2186	4002
106	2204	3975
107	2224	3953
108	2244	3933
109	2264	3910
110	2282	3886
111	2301	3862
112	2318	3837
113	2336	3812
114	2356	3790
115	2376	3770
116	2396	3748
117	2415	3725
118	2431	3698
119	2448	3672
120	2465	3647
121	2482	3622
122	2505	3604
123	2524	3582
124	2542	3558
125	2561	3537
126	2579	3514
127	2597	3489
128	2614	3465
129	2632	3442
130	2649	3418
131	2667	3395
132	2684	3370
133	2703	3349
134	2722	3327
135	2739	3303
136	2755	3278
137	2771	3253
138	2789	3230
139	2806	3207
140	2826	3187
141	2845	3166
142	2864	3144
143	2882	3122
144	2899	3099
145	2918	3078
146	2935	3055
147	2954	3034
148	2971	3011
149	2994	2994
150	3013	2973
151	3034	2954
152	3051	2932
153	3069	2909
154	3087	2888
155	3104	2865
156	3123	2845
157	3141	2823
158	3159	2802
159	3177	2780
160	3194	2757
161	3212	2736
162	3230	2715
163	3250	2695
164	3269	2674
165	3285	2652
166	3303	2631
167	3322	2610
168	3339	2588
169	3357	2567
170	3373	2544
171	3390	2523
172	3408	2501
173	3424	2479
174	3443	2459
175	3462	2439
176	3478	2416
177	3494	2395
178	3511	2373
179	3529	2352
180	3547	2332
181	3565	2311
182	3586	2292
183	3606	2273
184	3624	2252
185	3644	2233
186	3662	2213
187	3680	2192
188	3696	2170
189	3714	2150
190	3731	2129
191	3750	2109
192	3769	2089
193	3791	2071
194	3810	2051
195	3831	2032
196	3849	2012
197	3866	1991
198	3883	1971
199	3901	1950
200	3918	1930
201	3937	1910
202	3956	1890
203	3973	1870
204	3991	1849
205	4008	1829
206	4028	1809
207	4044	1789
208	4064	1769
209	4081	1749
210	4098	1728
211	4117	1709
212	4134	1688
213	4151	1668
214	4169	1648
215	4186	1628
216	4204	1608
217	4223	1588
218	4242	1569
219	4261	1549
220	4276	1528
221	4294	1508
222	4310	1488
223	4328	1468
224	4344	1448
225	4363	1428
226	4381	1408
227	4399	1389
228	4417	1369
229	4435	1349
230	4456	1331
231	4474	1311
232	4491	1291
233	4509	1271
234	4527	1252
235	4545	1232
236	4562	1212
237	4581	1193
238	4600	1174
239	4618	1154
240	4635	1134
241	4654	1115
242	4671	1095
243	4687	1075
244	4707	1056
245	4725	1037
246	4743	1017
247	4761	998
248	4779	979
249	4795	959
250	4812	939
251	4830	920
252	4848	900
253	4866	881
254	4882	861
255	4901	842
256	4919	823
257	4936	803
258	4953	784
259	4970	764
260	4988	745
261	5006	726
262	5023	706
263	5041	687
264	5061	668
265	5078	649
266	5097	630
267	5115	610
268	5133	591
269	5152	572
270	5170	553
271	5191	534
272	5210	515
273	5226	495
274	5245	476
275	5262	457
276	5280	438
277	5299	419
278	5318	400
279	5336	381
280	5355	362
281	5374	343
282	5394	324
283	5413	304
284	5432	285
285	5450	266
286	5472	247
287	5491	228
288	5509	209
289	5528	190
290	5545	171
291	5563	152
292	5581	133
293	5598	114
294	5615	95
295	5633	76
296	5653	57
297	5671	38
298	5689	19
299	5707	0
