iter	Logloss
0	0.6456552546
1	0.6096214613
2	0.5820564353
3	0.5608298981
4	0.5421962835
5	0.5297516591
6	0.5205452137
7	0.5133747486
8	0.5059297029
9	0.5014079848
10	0.4959768785
11	0.4918685524
12	0.4896541048
13	0.4868948124
14	0.4852296366
15	0.4843369555
16	0.4836721844
17	0.4807909715
18	0.4797191895
19	0.4791184898
20	0.4783484048
21	0.4781603274
22	0.4778497666
23	0.477474852
24	0.4771694204
25	0.4769319646
26	0.4765023973
27	0.4753942406
28	0.4745460552
29	0.4743625276
30	0.4742125615
31	0.4741721311
32	0.4740567285
33	0.4740136538
34	0.4739662837
35	0.4734185964
36	0.4731893368
37	0.4731473816
38	0.4729529798
39	0.4728305249
40	0.472794501
41	0.4726980689
42	0.4726706785
43	0.4721776995
44	0.4721472096
45	0.4720658415
46	0.4717908362
47	0.4716872738
48	0.4716675525
49	0.4716540447
50	0.4714469141
51	0.4714307161
52	0.471415196
53	0.4714015732
54	0.4713226736
55	0.4712565148
56	0.4711956327
57	0.4711792064
58	0.4711461928
59	0.4711299773
60	0.4711236413
61	0.4711107237
62	0.4710947883
63	0.4710561007
64	0.4710424638
65	0.470999156
66	0.4709825494
67	0.4709641467
68	0.4709386032
69	0.4709229597
70	0.4709033756
71	0.4708833267
72	0.4708665035
73	0.4708533481
74	0.4708458841
75	0.4708341099
76	0.4708155753
77	0.4708034085
78	0.4707903324
79	0.4706281677
80	0.4706173966
81	0.4705718428
82	0.4705622057
83	0.4705513145
84	0.4704433687
85	0.4704366828
86	0.4704274291
87	0.4704151553
88	0.4703772615
89	0.4703640246
90	0.4703402226
91	0.470318624
92	0.4703069721
93	0.4702869693
94	0.470276534
95	0.4702549062
96	0.4702452118
97	0.4702325025
98	0.4702215316
99	0.470197732
100	0.4701881313
101	0.4701719305
102	0.470153119
103	0.4701351606
104	0.4700456662
105	0.4700321345
106	0.4700231107
107	0.4700125029
108	0.4699468941
109	0.4699292796
110	0.4699210065
111	0.4699074414
112	0.4698899995
113	0.4698777149
114	0.4698683119
115	0.4698546927
116	0.4698389589
117	0.4698302444
118	0.4698143973
119	0.4698010425
120	0.4697886297
121	0.4697751755
122	0.4697565421
123	0.4697478352
124	0.4697352574
125	0.4697158699
126	0.4696657875
127	0.4696532995
128	0.4696366663
129	0.4696168764
130	0.4696004386
131	0.469581067
132	0.4695690978
133	0.469559525
134	0.4695501295
135	0.4695377858
136	0.4695221131
137	0.4695060875
138	0.4694923484
139	0.4694740421
140	0.4694612241
141	0.4694469474
142	0.4694332523
143	0.4694184908
144	0.4694043273
145	0.4693906048
146	0.4693820447
147	0.4693630885
148	0.4693555465
149	0.4693465252
150	0.4693423738
151	0.469328867
152	0.4693180044
153	0.4692989775
154	0.4692838836
155	0.4692751538
156	0.4692654352
157	0.4692535555
158	0.4692100349
159	0.4691974192
160	0.4691838605
161	0.4691761974
162	0.469133765
163	0.4691165155
164	0.469083468
165	0.4690500644
166	0.4690396091
167	0.4690302978
168	0.46902105
169	0.4690053486
170	0.4689947709
171	0.4689731911
172	0.4689593653
173	0.4689447317
174	0.4689351577
175	0.4689225925
176	0.4689080499
177	0.4688894855
178	0.4688532388
179	0.4688392731
180	0.4688248492
181	0.4688152891
182	0.4687772012
183	0.4687730627
184	0.4687615344
185	0.4687489333
186	0.4687368465
187	0.4687249558
188	0.4687018233
189	0.4686881958
190	0.4686815298
191	0.4686551405
192	0.4686380741
193	0.4686138412
194	0.4686014401
195	0.4685883874
196	0.4685761046
197	0.4685633884
198	0.4685460959
199	0.4685249261
200	0.4685119364
201	0.4684993227
202	0.4684913746
203	0.4684783646
204	0.4684661928
205	0.4684623722
206	0.4684572224
207	0.4684392333
208	0.4684269143
209	0.4684139544
210	0.4683874639
211	0.4683781842
212	0.4683753022
213	0.4683676777
214	0.4683550309
215	0.4683259217
216	0.468322579
217	0.4683127842
218	0.4683012197
219	0.4682789293
220	0.4682620124
221	0.468259641
222	0.4682501737
223	0.4682436268
224	0.4682310032
225	0.4682179937
226	0.4682076077
227	0.4681995069
228	0.4681876488
229	0.4681829951
230	0.4681780201
231	0.4681607701
232	0.4681543742
233	0.4681437869
234	0.4681244464
235	0.4681088372
236	0.4681007299
237	0.4680927006
238	0.4680862919
239	0.4680742818
240	0.4680629485
241	0.4680412626
242	0.4680291292
243	0.4680149029
244	0.4680118764
245	0.4679973312
246	0.4679797538
247	0.4679689944
248	0.4679587865
249	0.4679337011
250	0.467926304
251	0.4679155218
252	0.4678954076
253	0.4678837776
254	0.4678692989
255	0.4678633667
256	0.4678543736
257	0.467844518
258	0.46783158
259	0.4678068613
260	0.4678006817
261	0.4677963425
262	0.4677773969
263	0.4677728205
264	0.4677613717
265	0.4677532666
266	0.4677430378
267	0.4677339446
268	0.4677267709
269	0.4677165403
270	0.4677103796
271	0.4676987961
272	0.4676886006
273	0.4676775282
274	0.4676696673
275	0.4676522233
276	0.4676398296
277	0.4676245134
278	0.4676205406
279	0.4676073135
280	0.4675958696
281	0.4675807907
282	0.4675593245
283	0.4675520342
284	0.4675317997
285	0.4675274217
286	0.4675133062
287	0.4675064301
288	0.4674936911
289	0.4674826644
290	0.4674691734
291	0.4674577871
292	0.4674429021
293	0.4674329084
294	0.4674255996
295	0.4674178976
296	0.4674082492
297	0.4673972762
298	0.4673888841
299	0.4673702464
300	0.4673565107
301	0.4673543702
302	0.467340806
303	0.467335059
304	0.4673203854
305	0.4673068032
306	0.46729377
307	0.4672886894
308	0.4672810091
309	0.46727229
310	0.4672631972
311	0.467248943
312	0.4672378404
313	0.4672250038
314	0.4672150382
315	0.4672032704
316	0.467187674
317	0.4671783941
318	0.4671750615
319	0.4671717831
320	0.4671580215
321	0.4671513416
322	0.4671377032
323	0.4671265132
324	0.4671163868
325	0.4671044754
326	0.4670888275
327	0.4670784199
328	0.4670661914
329	0.4670482976
330	0.4670382226
331	0.4670267317
332	0.4670147188
333	0.4670014321
334	0.4669947774
335	0.4669839629
336	0.4669790763
337	0.4669702341
338	0.4669632165
339	0.4669521624
340	0.4669400365
341	0.4669300236
342	0.4669258073
343	0.4669185682
344	0.4669143044
345	0.4669106686
346	0.4669038353
347	0.4668937216
348	0.4668856853
349	0.4668738466
350	0.4668685244
351	0.4668595182
352	0.4668492233
353	0.4668377923
354	0.4668251574
355	0.4668155971
356	0.4668053086
357	0.4667964518
358	0.4667857883
359	0.466778534
360	0.4667677687
361	0.4667525472
362	0.4667456106
363	0.4667379757
364	0.4667363094
365	0.4667264024
366	0.4667195585
367	0.4667041563
368	0.4667021559
369	0.4666961806
370	0.466689243
371	0.4666837721
372	0.4666807499
373	0.4666714846
374	0.466662479
375	0.4666552102
376	0.466647112
377	0.4666419921
378	0.4666322514
379	0.4666150212
380	0.4666072412
381	0.4665976294
382	0.4665837447
383	0.4665675364
384	0.4665563516
385	0.466548227
386	0.4665379985
387	0.4665345111
388	0.4665261325
389	0.4665205364
390	0.4665124372
391	0.4664974381
392	0.4664863066
393	0.4664797563
394	0.4664736062
395	0.4664637557
396	0.4664569957
397	0.4664458534
398	0.4664360256
399	0.4664316755
400	0.4664193303
401	0.4664100893
402	0.4664041851
403	0.4663904265
404	0.4663822129
405	0.4663784966
406	0.4663681685
407	0.4663628721
408	0.466355405
409	0.4663468277
410	0.466341525
411	0.4663345963
412	0.4663291121
413	0.4663189429
414	0.4663096308
415	0.4662985151
416	0.4662947944
417	0.4662903318
418	0.4662790299
419	0.4662723673
420	0.4662633096
421	0.4662539311
422	0.4662517001
423	0.466242077
424	0.4662382635
425	0.4662289636
426	0.4662192588
427	0.4662068363
428	0.4662052433
429	0.4662010613
430	0.4661976835
431	0.4661913674
432	0.4661846506
433	0.4661725284
434	0.4661671283
435	0.4661626749
436	0.4661472481
437	0.466138352
438	0.4661268775
439	0.4661204032
440	0.4661157384
441	0.4661145808
442	0.4661058192
443	0.466096531
444	0.4660922219
445	0.4660837544
446	0.4660731353
447	0.4660656661
448	0.4660565953
449	0.4660517667
450	0.4660356875
451	0.4660281312
452	0.4660237164
453	0.4660193356
454	0.4660163975
455	0.4660046342
456	0.4659890552
457	0.465981174
458	0.4659700374
459	0.4659552994
460	0.4659442231
461	0.4659334541
462	0.4659261964
463	0.4659219088
464	0.4659178024
465	0.4659077897
466	0.465902185
467	0.4658972832
468	0.4658934203
469	0.4658890076
470	0.4658832715
471	0.4658738125
472	0.4658711029
473	0.4658622709
474	0.4658526029
475	0.465838475
476	0.465832088
477	0.4658223166
478	0.4658064511
479	0.4657990637
480	0.4657926637
481	0.4657882467
482	0.4657819376
483	0.4657706962
484	0.4657683337
485	0.4657607905
486	0.4657508331
487	0.4657480869
488	0.4657458064
489	0.4657357193
490	0.4657274892
491	0.4657148334
492	0.4657129516
493	0.4657021275
494	0.4656929217
495	0.4656822727
496	0.465677677
497	0.4656669703
498	0.4656603503
499	0.4656470833
500	0.4656415525
501	0.465634342
502	0.4656310962
503	0.4656241053
504	0.4656128269
505	0.4656079956
506	0.4656039142
507	0.4656000925
508	0.4655891032
509	0.4655758587
510	0.4655679413
511	0.4655582606
512	0.4655499113
513	0.4655371848
