iter	Passed	Remaining
0	18	9398
1	41	10693
2	62	10724
3	90	11573
4	119	12206
5	146	12419
6	173	12534
7	200	12663
8	231	12977
9	262	13228
10	292	13357
11	326	13648
12	355	13696
13	383	13686
14	411	13693
15	435	13560
16	464	13571
17	495	13654
18	521	13589
19	547	13519
20	570	13386
21	591	13225
22	616	13165
23	644	13162
24	672	13162
25	700	13155
26	728	13131
27	757	13153
28	784	13122
29	808	13045
30	834	13006
31	860	12954
32	885	12911
33	910	12857
34	938	12844
35	968	12855
36	995	12828
37	1021	12790
38	1053	12826
39	1081	12814
40	1109	12804
41	1141	12827
42	1169	12805
43	1202	12844
44	1232	12841
45	1261	12833
46	1293	12849
47	1320	12815
48	1345	12767
49	1376	12772
50	1416	12855
51	1447	12864
52	1478	12861
53	1507	12844
54	1537	12828
55	1571	12856
56	1603	12858
57	1636	12866
58	1665	12847
59	1695	12831
60	1724	12810
61	1750	12763
62	1785	12781
63	1822	12817
64	1850	12783
65	1880	12762
66	1909	12739
67	1935	12697
68	1963	12662
69	1993	12646
70	2020	12607
71	2051	12592
72	2086	12601
73	2114	12574
74	2144	12549
75	2174	12533
76	2203	12504
77	2231	12473
78	2261	12449
79	2290	12427
80	2318	12393
81	2346	12362
82	2372	12319
83	2400	12287
84	2430	12265
85	2456	12226
86	2483	12189
87	2509	12148
88	2538	12121
89	2566	12091
90	2594	12058
91	2620	12020
92	2650	11998
93	2676	11960
94	2705	11930
95	2735	11911
96	2764	11883
97	2795	11866
98	2826	11847
99	2856	11826
100	2883	11790
101	2909	11750
102	2935	11715
103	2963	11681
104	2993	11660
105	3021	11631
106	3048	11596
107	3076	11563
108	3105	11540
109	3133	11507
110	3159	11472
111	3187	11441
112	3216	11412
113	3244	11383
114	3271	11349
115	3307	11347
116	3333	11312
117	3361	11281
118	3387	11245
119	3414	11210
120	3440	11175
121	3469	11147
122	3495	11110
123	3520	11072
124	3545	11032
125	3568	10987
126	3595	10956
127	3621	10919
128	3645	10881
129	3675	10857
130	3701	10821
131	3727	10788
132	3753	10751
133	3778	10715
134	3803	10677
135	3828	10641
136	3855	10609
137	3886	10588
138	3914	10560
139	3943	10533
140	3969	10500
141	3992	10460
142	4027	10448
143	4053	10414
144	4080	10385
145	4106	10351
146	4132	10317
147	4158	10283
148	4184	10249
149	4211	10218
150	4237	10185
151	4261	10149
152	4288	10119
153	4318	10095
154	4346	10067
155	4374	10039
156	4402	10010
157	4432	9987
158	4467	9973
159	4495	9945
160	4526	9924
161	4552	9891
162	4581	9866
163	4610	9839
164	4640	9815
165	4670	9790
166	4698	9763
167	4723	9729
168	4755	9708
169	4781	9675
170	4807	9643
171	4833	9611
172	4861	9581
173	4892	9559
174	4917	9526
175	4943	9493
176	4971	9465
177	4998	9435
178	5030	9413
179	5057	9383
180	5083	9353
181	5107	9317
182	5134	9286
183	5156	9247
184	5180	9212
185	5204	9177
186	5230	9146
187	5255	9112
188	5281	9081
189	5306	9049
190	5330	9013
191	5358	8986
192	5387	8959
193	5414	8931
194	5439	8899
195	5468	8872
196	5492	8838
197	5521	8811
198	5551	8787
199	5584	8767
200	5612	8739
201	5640	8712
202	5669	8686
203	5697	8657
204	5721	8624
205	5745	8590
206	5770	8558
207	5797	8529
208	5823	8498
209	5848	8467
210	5875	8437
211	5898	8402
212	5922	8369
213	5946	8336
214	5970	8303
215	5996	8272
216	6019	8238
217	6042	8204
218	6069	8175
219	6095	8146
220	6120	8114
221	6149	8088
222	6175	8058
223	6200	8027
224	6231	8003
225	6262	7980
226	6291	7954
227	6316	7923
228	6341	7892
229	6369	7864
230	6396	7836
231	6425	7809
232	6454	7783
233	6483	7758
234	6516	7736
235	6542	7707
236	6566	7674
237	6590	7642
238	6613	7609
239	6641	7582
240	6665	7551
241	6692	7522
242	6719	7493
243	6750	7469
244	6772	7436
245	6800	7408
246	6826	7378
247	6851	7349
248	6876	7318
249	6902	7288
250	6927	7259
251	6952	7227
252	6978	7199
253	7011	7177
254	7041	7152
255	7066	7121
256	7092	7092
257	7119	7064
258	7151	7040
259	7178	7012
260	7209	6988
261	7235	6959
262	7264	6932
263	7292	6905
264	7321	6879
265	7348	6851
266	7380	6827
267	7412	6803
268	7438	6774
269	7470	6751
270	7496	6722
271	7527	6696
272	7556	6670
273	7584	6643
274	7610	6614
275	7634	6583
276	7659	6553
277	7684	6523
278	7708	6492
279	7731	6461
280	7755	6430
281	7785	6405
282	7810	6375
283	7836	6346
284	7872	6325
285	7902	6300
286	7929	6271
287	7957	6244
288	7987	6218
289	8014	6190
290	8040	6161
291	8066	6132
292	8090	6102
293	8115	6072
294	8140	6043
295	8163	6012
296	8190	5984
297	8217	5956
298	8245	5928
299	8269	5898
300	8295	5870
301	8317	5838
302	8345	5811
303	8370	5782
304	8401	5756
305	8427	5728
306	8454	5700
307	8479	5671
308	8511	5646
309	8536	5617
310	8563	5589
311	8598	5566
312	8625	5539
313	8656	5513
314	8688	5489
315	8719	5463
316	8753	5440
317	8781	5412
318	8807	5384
319	8834	5355
320	8862	5328
321	8895	5304
322	8924	5277
323	8952	5249
324	8982	5223
325	9014	5198
326	9044	5172
327	9074	5146
328	9109	5122
329	9138	5095
330	9167	5068
331	9199	5042
332	9230	5017
333	9258	4989
334	9286	4961
335	9310	4932
336	9332	4901
337	9356	4872
338	9389	4846
339	9415	4818
340	9439	4788
341	9461	4758
342	9484	4728
343	9512	4701
344	9536	4671
345	9559	4641
346	9582	4611
347	9608	4583
348	9634	4555
349	9658	4525
350	9682	4496
351	9705	4466
352	9732	4438
353	9756	4409
354	9780	4380
355	9804	4351
356	9828	4322
357	9854	4294
358	9879	4265
359	9902	4236
360	9938	4212
361	9965	4184
362	9990	4155
363	10015	4127
364	10037	4097
365	10063	4069
366	10087	4040
367	10115	4013
368	10137	3983
369	10161	3954
370	10185	3926
371	10207	3896
372	10229	3867
373	10257	3839
374	10282	3811
375	10309	3783
376	10336	3756
377	10360	3727
378	10389	3700
379	10415	3672
380	10438	3644
381	10467	3616
382	10492	3588
383	10519	3561
384	10546	3533
385	10572	3505
386	10600	3478
387	10626	3450
388	10650	3422
389	10673	3393
390	10699	3365
391	10738	3342
392	10765	3314
393	10788	3285
394	10811	3257
395	10836	3228
396	10865	3202
397	10892	3174
398	10916	3146
399	10938	3117
400	10965	3089
401	10992	3062
402	11015	3034
403	11041	3006
404	11067	2978
405	11090	2950
406	11117	2922
407	11140	2894
408	11164	2866
409	11187	2837
410	11210	2809
411	11234	2781
412	11259	2753
413	11285	2725
414	11309	2697
415	11335	2670
416	11358	2642
417	11384	2614
418	11412	2587
419	11435	2559
420	11458	2531
421	11485	2503
422	11509	2476
423	11535	2448
424	11559	2420
425	11587	2393
426	11614	2366
427	11643	2339
428	11666	2311
429	11691	2283
430	11713	2255
431	11736	2227
432	11762	2200
433	11788	2172
434	11812	2145
435	11838	2117
436	11867	2090
437	11893	2063
438	11919	2036
439	11943	2008
440	11967	1981
441	11990	1953
442	12013	1925
443	12040	1898
444	12062	1870
445	12089	1843
446	12115	1816
447	12140	1788
448	12166	1761
449	12191	1733
450	12215	1706
451	12242	1679
452	12269	1652
453	12292	1624
454	12318	1597
455	12347	1570
456	12375	1543
457	12400	1516
458	12427	1489
459	12453	1461
460	12477	1434
461	12500	1407
462	12529	1380
463	12555	1352
464	12587	1326
465	12621	1300
466	12649	1273
467	12678	1246
468	12706	1219
469	12732	1191
470	12760	1164
471	12795	1138
472	12822	1111
473	12856	1084
474	12888	1058
475	12919	1031
476	12947	1004
477	12977	977
478	13006	950
479	13032	923
480	13056	895
481	13083	868
482	13110	841
483	13144	814
484	13170	787
485	13197	760
486	13229	733
487	13253	706
488	13278	678
489	13307	651
490	13332	624
491	13363	597
492	13390	570
493	13433	543
494	13476	517
495	13519	490
496	13561	463
497	13604	437
498	13634	409
499	13668	382
500	13698	355
501	13725	328
502	13752	300
503	13778	273
504	13806	246
505	13839	218
506	13867	191
507	13892	164
508	13923	136
509	13952	109
510	13979	82
511	14006	54
512	14039	27
513	14070	0
